min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_ Amer-Indian-Eskimo,recall_group_ Asian-Pac-Islander,recall_group_ Black,recall_group_ Other,recall_group_ White,threshold,iteration
0.6363636363636364,0.36363636363636365,0.7704750204750205,0.5111319428169674,0.9332477535301669,0.25481309329888224,0.6363636363636364,0.9146341463414634,0.9026548672566371,1.0,0.9368222536539368,0.8989898989898991,0
0.6363636363636364,0.36363636363636365,0.7763104013104013,0.5181297709923665,0.9293966623876765,0.2513480874009998,0.6363636363636364,0.9146341463414634,0.8849557522123894,1.0,0.9335219236209336,0.9090909090909092,0
0.5454545454545454,0.4545454545454546,0.7837837837837838,0.5274859516247251,0.9238339751818571,0.24983755685510073,0.5454545454545454,0.9146341463414634,0.8761061946902655,1.0,0.9283356907119283,0.9191919191919192,0
0.5454545454545454,0.4545454545454546,0.790028665028665,0.5356964553170245,0.9182712879760376,0.2530332056194125,0.5454545454545454,0.8780487804878049,0.8761061946902655,1.0,0.9236209335219236,0.9292929292929294,0
0.5454545454545454,0.4545454545454546,0.7955569205569205,0.5433452320244773,0.9118528027385537,0.24441251596424013,0.5454545454545454,0.8536585365853658,0.8761061946902655,1.0,0.9174917491749175,0.9393939393939394,0
0.5454545454545454,0.4545454545454546,0.8012899262899262,0.5516162669447341,0.9054343175010697,0.2600042571306939,0.5454545454545454,0.8536585365853658,0.8584070796460177,1.0,0.9113625648279113,0.9494949494949496,0
0.5454545454545454,0.36119326218336123,0.8070229320229321,0.5602024507192328,0.8998716302952503,0.2636095146871009,0.5454545454545454,0.8414634146341463,0.8495575221238938,0.9,0.9066478076379066,0.9595959595959597,0
0.5454545454545454,0.35647850499335654,0.8122440622440622,0.5684353741496598,0.8938810440735986,0.2678134312473393,0.5454545454545454,0.8292682926829268,0.8230088495575221,0.9,0.901933050447902,0.9696969696969697,0
0.5454545454545454,0.3545454545454546,0.8167485667485668,0.5759511246875868,0.8874625588361147,0.2595519369944657,0.5454545454545454,0.8170731707317073,0.8230088495575221,0.9,0.8953323903818954,0.9797979797979799,0
0.5454545454545454,0.3545454545454546,0.8202293202293203,0.5822247381828475,0.8801882755669662,0.25224829714772246,0.5454545454545454,0.8048780487804879,0.8230088495575221,0.9,0.8877887788778878,0.98989898989899,0
0.5454545454545454,0.3545454545454546,0.8238124488124489,0.5889659156556903,0.8724860932819855,0.2443459982971477,0.5454545454545454,0.7926829268292683,0.8141592920353983,0.9,0.8802451673738803,1.0,0
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.010101010101010102,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.020202020202020204,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.030303030303030304,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.04040404040404041,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05050505050505051,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.06060606060606061,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07070707070707072,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.08080808080808081,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.10101010101010102,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.11111111111111112,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.12121212121212122,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.13131313131313133,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.14141414141414144,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.15151515151515152,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16161616161616163,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.17171717171717174,1
1.0,0.0,0.23925061425061425,0.23925061425061425,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,1
